Year,Pairing,Fandom,Type,Works
2019,Inquisitor/Solas (Dragon Age),Dragon Age: Inquisition,Other,5428
2019,America/England (Hetalia),Hetalia: Axis Powers,M/M,5301
2020,Castiel/Dean Winchester,Supernatural,M/M,84563
2020,Sherlock Holmes/John Watson,Sherlock (TV),M/M,61544
2020,Derek Hale/Stiles Stilinski,Teen Wolf (TV),M/M,59286
2020,"James ""Bucky"" Barnes/Steve Rogers",Captain America (Movies),M/M,49659
2020,Draco Malfoy/Harry Potter,Harry Potter,M/M,40312
2020,Steve Rogers/Tony Stark,The Avengers (Marvel Movies),M/M,36264
2020,Harry Styles/Louis Tomlinson,One Direction (Band),M/M,33126
2020,Keith/Lance (Voltron),Voltron: Legendary Defender,M/M,30317
2020,Aziraphale/Crowley (Good Omens),Good Omens,M/M,28208
2020,Dean Winchester/Sam Winchester,Supernatural,M/M,27696
2020,Magnus Bane/Alec Lightwood,Shadowhunters (TV),M/M,24787
2020,Katsuki Yuuri/Victor Nikiforov,Yuri!!! on Ice (Anime),M/M,24333
2020,Jeon Jungkook/Kim Taehyung,Bangtan Boys,M/M,23339
2020,Rey/Ben Solo,Star Wars Sequel Trilogy,F/M,21306
2020,Suga/Park Jimin,Bangtan Boys,M/M,19851
2020,Chat Noir/Marinette Dupain-Cheng,Miraculous Ladybug,F/M,19631
2020,Merlin/Arthur Pendragon (Merlin),Merlin (TV),M/M,18688
2020,Jeon Jungkook/Park Jimin,Bangtan Boys,M/M,17867
2020,Sirius Black/Remus Lupin,Harry Potter,M/M,17686
2020,Sherlock Holmes & John Watson,Sherlock (TV),Gen,17417
2020,Pepper Potts/Tony Stark,Marvel Cinematic Universe,F/M,17384
2020,Peter Parker & Tony Stark,Marvel Cinematic Universe,Gen,17366
2020,Dan Howell/Phil Lester,Phandom/The Fantastic Foursome (YouTube RPF),M/M,17316
2020,Will Graham/Hannibal Lecter,Hannibal (TV),M/M,17257
2020,Bakugou Katsuki/Midoriya Izuku,Boku no Hero Academia,M/M,16824
2020,RM/Kim Seokjin,Bangtan Boys,M/M,16682
2020,Blaine Anderson/Kurt Hummel,Glee,M/M,16175
2020,Bakugou Katsuki/Kirishima Eijirou,Boku no Hero Academia,M/M,15375
2020,Erik Lehnsherr/Charles Xavier,X-Men (Alternate Timeline Movies),M/M,14736
2020,Levi/Eren Yeager,Attack on Titan,M/M,14304
2020,Midoriya Izuku/Todoroki Shouto,Boku no Hero Academia,M/M,14073
2020,Keith/Shiro (Voltron),Voltron: Legendary Defender,M/M,13925
2020,Armitage Hux/Ben Solo,Star Wars Sequel Trilogy,M/M,13475
2020,Gabriel/Sam Winchester,Supernatural,M/M,13166
2020,Lan Wangji/Wei Ying,Mo Dao Zu Shi,M/M,13132
